"WARDS_ID","WARDS_NAME","DISTRICT_ID"
31,"XÃ PHÚ PHƯƠNG",2
32,"XÃ PHÚ CHÂU",2
33,"XÃ THÁI HÒA",2
34,"XÃ ĐỒNG THÁI",2
35,"XÃ PHÚ SƠN",2
36,"XÃ MINH CHÂU",2
37,"XÃ VẬT LẠI",2
38,"XÃ CHU MINH",2
39,"XÃ TÒNG BẠT",2
40,"XÃ CẨM LĨNH",2
41,"XÃ SƠN ĐÀ",2
42,"XÃ ĐÔNG QUANG",2
43,"XÃ THỤY AN",2
44,"XÃ CAM THƯỢNG",2
45,"XÃ THUẦN MỸ",2
46,"XÃ TẢN LĨNH",2
47,"XÃ VÂN HÒA",2
48,"XÃ CHÂU SƠN",2
49,"XÃ MINH QUANG",2
50,"XÃ LẠI YÊN",3
51,"XÃ CÁT QUẾ",3
52,"XÃ KIM CHUNG",3
53,"XÃ SONG PHƯƠNG",3
54,"XÃ TIỀN YÊN",3
55,"XÃ DƯƠNG LIỄU",3
56,"XÃ AN KHÁNH",3
57,"XÃ YÊN SỞ",3
58,"THỊ TRẤN TRẠM TRÔI",3
59,"XÃ ĐỨC GIANG",3
60,"XÃ SƠN ĐỒNG",3
61,"XÃ VÂN CANH",3
62,"XÃ VÂN CÔN",3
63,"XÃ LA PHÙ",3
64,"XÃ DI TRẠCH",3
65,"XÃ ĐÔNG LA",3
66,"XÃ ĐỨC THƯỢNG",3
67,"XÃ MINH KHAI",3
68,"XÃ AN THƯỢNG",3
69,"XÃ ĐẮC SỞ",3
70,"ĐẠI LỘ THĂNG LONG",3
71,"PHƯỜNG YÊN SỞ",4
72,"PHƯỜNG VĨNH HƯNG",4
73,"PHƯỜNG THỊNH LIỆT",4
74,"PHƯỜNG ĐỊNH CÔNG",4
75,"PHƯỜNG ĐẠI KIM",4
76,"PHƯỜNG HOÀNG LIỆT",4
77,"PHƯỜNG TÂN MAI",4
78,"PHƯỜNG THANH TRÌ",4
79,"PHƯỜNG TRƯƠNG ĐỊNH",4
80,"PHƯỜNG GIÁP BÁT",4
81,"PHƯỜNG HOÀNG VĂN THỤ",4
82,"PHƯỜNG TƯƠNG MAI",4
83,"PHƯỜNG LĨNH NAM",4
84,"PHƯỜNG MAI ĐỘNG",4
85,"PHƯỜNG TRẦN PHÚ",4
86,"XÃ THANH LIỆT",4
87,"XÃ CANH NẬU",5
88,"XÃ CẨM YÊN",5
89,"XÃ CẦN KIỆM",5
90,"XÃ CHÀNG SƠN",5
91,"XÃ DỊ NẬU",5
92,"XÃ ĐẠI ĐỒNG",5
93,"XÃ ĐỒNG TRÚC",5
94,"XÃ HẠ BẰNG",5
95,"XÃ HƯƠNG NGẢI",5
96,"THỊ TRẤN LIÊN QUAN",5
97,"XÃ TIẾN XUÂN",5
98,"XÃ THẠCH XÁ",5
99,"XÃ YÊN BÌNH",5
100,"XÃ YÊN TRUNG",5
101,"XÃ BÌNH PHÚ",5
102,"XÃ BÌNH YÊN",5
103,"XÃ HỮU BẰNG",5
104,"XÃ KIM QUAN",5
105,"XÃ LẠI THƯỢNG",5
106,"XÃ PHÚ KIM",5
107,"XÃ PHÙNG XÁ",5
108,"XÃ TÂN XÃ",5
109,"XÃ THẠCH HÒA",5
110,"XÃ HOÀNG VĂN THỤ",6
111,"XÃ HOÀNG DIỆU",6
112,"XÃ QUẢNG BỊ",6
