"DISTRICT_ID","DISTRICT_NAME","PROVINCE_ID"
303,"HUYỆN HOÀNH BỒ",28
304,"HUYỆN TAM ĐƯỜNG",29
305,"HUYỆN PHONG THỔ",29
306,"HUYỆN SÌN HỒ",29
307,"HUYỆN THAN UYÊN",29
308,"HUYỆN MƯỜNG TÈ",29
309,"HUYỆN TÂN UYÊN",29
310,"HUYỆN NẬM NHÙN",29
311,"THỊ XÃ LAI CHÂU",29
312,"HUYỆN QUỲNH NHAI",30
313,"HUYỆN MƯỜNG LA",30
314,"HUYỆN SÔNG MÃ",30
315,"THỊ XÃ SƠN LA",30
316,"HUYỆN MAI SƠN",30
317,"HUYỆN PHÙ YÊN",30
318,"HUYỆN THUẬN CHÂU",30
319,"HUYỆN MỘC CHÂU",30
320,"HUYỆN YÊN CHÂU",30
321,"HUYỆN VÂN HỒ",30
322,"HUYỆN BẮC YÊN",30
323,"HUYỆN SỐP CỘP",30
324,"HUYỆN KỲ SƠN",31
325,"HUYỆN LẠC THỦY",31
326,"HUYỆN KIM BÔI",31
327,"HUYỆN TÂN LẠC",31
328,"HUYỆN LƯƠNG SƠN",31
329,"HUYỆN YÊN THỦY",31
330,"HUYỆN CAO PHONG",31
331,"HUYỆN ĐÀ BẮC",31
332,"HUYỆN LẠC SƠN",31
333,"THỊ XÃ HÒA BÌNH",31
334,"HUYỆN MAI CHÂU",31
335,"HUYỆN NGỌC LẶC",32
336,"HUYỆN HOẰNG HÓA",32
337,"HUYỆN QUAN SƠN",32
338,"HUYỆN THẠCH THÀNH",32
339,"HUYỆN QUẢNG XƯƠNG",32
340,"HUYỆN NGA SƠN",32
341,"HUYỆN ĐÔNG SƠN",32
342,"HUYỆN VĨNH LỘC",32
343,"HUYỆN LANG CHÁNH",32
344,"THÀNH PHỐ THANH HÓA",32
345,"HUYỆN TRIỆU SƠN",32
346,"HUYỆN NÔNG CỐNG",32
347,"HUYỆN TĨNH GIA",32
348,"HUYỆN THƯỜNG XUÂN",32
349,"HUYỆN NHƯ XUÂN",32
350,"HUYỆN HẬU LỘC",32
351,"HUYỆN NHƯ THANH",32
352,"HUYỆN HÀ TRUNG",32
353,"HUYỆN MƯỜNG LÁT",32
354,"HUYỆN CẨM THỦY",32
355,"HUYỆN QUAN HÓA",32
356,"HUYỆN BÁ THƯỚC",32
357,"HUYỆN YÊN ĐỊNH",32
358,"HUYỆN THỌ XUÂN",32
359,"THỊ XÃ BỈM SƠN",32
360,"HUYỆN THIỆU HÓA",32
361,"THỊ XÃ SẦM SƠN",32
362,"HUYỆN ANH SƠN",33
363,"HUYỆN CON CUÔNG",33
364,"HUYỆN HƯNG NGUYÊN",33
365,"THỊ XÃ THÁI HÒA",33
366,"HUYỆN QUỲ CHÂU",33
367,"THỊ XÃ CỬA LÒ",33
368,"HUYỆN TƯƠNG DƯƠNG",33
369,"HUYỆN QUẾ PHONG",33
370,"HUYỆN TÂN KỲ",33
371,"HUYỆN DIỄN CHÂU",33
372,"HUYỆN KỲ SƠN",33
373,"THÀNH PHỐ VINH",33
374,"HUYỆN ĐÔ LƯƠNG",33
375,"HUYỆN NGHI LỘC",33
376,"HUYỆN YÊN THÀNH",33
377,"HUYỆN QUỲNH LƯU",33
378,"HUYỆN NAM ĐÀN",33
379,"HUYỆN NGHĨA ĐÀN",33
380,"THỊ XÃ HOÀNG MAI",33
381,"HUYỆN THANH CHƯƠNG",33
382,"HUYỆN QUỲ HỢP",33
383,"HUYỆN VŨ QUANG",34
384,"HUYỆN ĐỨC THỌ",34
385,"HUYỆN CAN LỘC",34
386,"HUYỆN LỘC HÀ",34
387,"HUYỆN NGHI XUÂN",34
388,"HUYỆN HƯƠNG SƠN",34
389,"HUYỆN HƯƠNG KHÊ",34
390,"HUYỆN CẨM XUYÊN",34
391,"THÀNH PHỐ HÀ TĨNH",34
392,"HUYỆN THẠCH HÀ",34
393,"THỊ XÃ KỲ ANH",34
